63,6,None
74,91,pending
62,1,blocked
17,13,following
86,55,blocked
96,22,blocked
15,26,pending
63,16,blocked
44,70,following
92,93,pending
20,19,None
67,27,following
48,15,following
7,91,following
38,7,blocked
24,34,blocked
30,49,None
79,87,following
73,17,None
91,24,blocked
97,49,blocked
41,17,None
29,36,blocked
33,74,blocked
93,61,blocked
93,99,pending
95,71,following
80,5,following
88,36,pending
6,85,following
94,79,pending
70,91,blocked
22,83,blocked
82,99,pending
85,51,None
76,44,None
98,36,pending
45,74,following
60,77,following
43,97,following
15,2,following
36,7,blocked
22,60,blocked
9,48,following
15,47,pending
33,13,None
20,9,blocked
78,21,blocked
91,1,pending
41,81,None
