1,43,71
2,58,27
3,32,18
4,148,95
5,6,94
6,53,53
7,130,96
8,2,54
9,152,57
10,24,89
11,149,83
12,35,23
13,150,37
14,6,41
15,58,51
16,180,20
17,87,35
18,51,25
19,14,38
20,12,58
21,101,41
22,119,51
23,5,98
24,47,65
25,191,59
26,72,60
27,67,29
28,174,66
29,44,96
30,179,11
31,134,20
32,177,19
33,71,28
34,148,81
35,178,89
36,158,12
37,92,90
38,69,45
39,132,88
40,26,22
41,6,16
42,3,21
43,149,12
44,32,83
45,177,67
46,59,79
47,67,65
48,131,80
49,82,24
50,28,85
51,49,21
52,23,45
53,45,28
54,100,63
55,196,45
56,128,35
57,24,52
58,57,23
59,50,30
60,5,14
61,26,71
62,74,29
63,26,47
64,76,39
65,137,35
66,136,34
67,36,5
68,68,100
69,186,2
70,36,21
71,52,63
72,148,91
73,163,31
74,197,33
75,32,62
76,93,77
77,121,14
78,152,28
79,8,24
80,140,71
81,75,62
82,103,17
83,187,33
84,75,95
85,87,15
86,185,46
87,36,48
88,196,41
89,179,99
90,154,46
91,139,80
92,97,68
93,22,69
94,64,25
95,142,86
96,161,9
97,24,82
98,99,87
99,8,35
100,29,95
